Review #,Brand,Variety,Style,Country,Stars,Re-Review
1,Westbrae,Miso Ramen,Pack,USA,0.5,
2,Wai Wai,Tom Yum Chili Flavor,Pack,Thailand,2,
3,Wai Wai,Tom Yum Shrimp,Pack,Thailand,2,
4,Wai Wai,Oriental Style Instant Noodles,Pack,Thailand,1,
5,Vifon,"Hu Tiu Nam Vang [""Phnom Penh"" style] Asian Style Instant Rice Noodles",Bowl,Vietnam,3.5,
6,Vifon,Nam Vang,Pack,Vietnam,2.5,
7,Ve Wong,Mushroom Pork,Pack,Vietnam,1,
8,Tung-I,Chinese Beef Instant Rice Noodle,Pack,Taiwan,3,
9,Sutah,Cup Noodle,Cup,Korea,2,
10,Smack,Vegetable Beef,Pack,USA,1.5,
11,Six Fortune,Chicken Flavor Instant Soup Noodle,Pack,Korea,2,
12,Sapporo Ichiban,Shrimp Flavor,Pack,Japan,2.5,
13,Sapporo Ichiban,Chow Mein,Pack,Japan,3.5,2
14,Samyang,Hot,Pack,Korea,3.5,
15,Samyang,Pojangmacha U-dong,Pack,Korea,2.5,
16,Samyang,Kalgug-Su (Spicy),Pack,Korea,3.5,
17,Quickchow,Pancit Palabok,Pack,Philippines,2.5,1
18,Ottogi,Jin Ramen (Hot Taste),Pack,Korea,3,1
19,Nongshim,Shin Ramyun,Pack,Korea,3,2
20,Nongshim,Neoguri (Seafood'n'Spicy),Pack,Korea,2,2
21,Nongshim,Champong Oriental Noodles,Pack,Korea,2,1
22,Nongshim,Ansungtangmyun Noodle Soup,Pack,Korea,3,1
23,Nissin,Top Ramen Creamy Chicken,Pack,USA,4.5,
24,Nissin,Demae Ramen Spicy Seafood With Chili Pepper,Pack,Japan,2,
25,Nissin,Demae Ramen Spicy Flavor,Pack,Japan,3,
26,Nissin,Soba Noodles With Mayo Mustard Squirt,Pack,Japan,4,
27,Nissin,Demae Ramen Curry Flavor,Pack,Japan,4,
28,Nissin,Chikin Ramen,Pack,Japan,5,
29,Mee Jang,Tom Yum Shrimp,Bowl,Thailand,3.5,
30,Myojo,Special Duck,Pack,Japan,1,
31,Myojo,Ippeichan Yakisoba,Tray,Japan,4,
32,Koka,Mi Hai Cua Crab Flavor,Pack,Singapore,3.5,
